GoogleCalendarID;EventId;idmodule;idlecturer;EventName;Eventdetails;EventStartsOn;EventEndsOn
1;1;12;16;ΕΡΓΑΤΙΚΟ ΔΙΚΑΙΟ;"""Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do""";2022-03-14;2022-05-17
1;2;30;28;ΕΠΙΧΕΙΡΗΣΙΑΚΗ ΕΡΕΥΝΑ;"""Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do""";2022-06-12;2022-08-22
1;3;16;5;ΔΙΕΘΝΕΙΣ ΟΙΚΟΝΟΜΙΚΕΣ ΣΧΕΣΕΙΣ;"""Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do""";2022-09-30;2022-10-15
1;4;49;20;ΠΟΛΥΜΕΣΑ;"""Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do""";2023-01-09;2023-02-10
1;5;46;23;ΑΡΧΙΤΕΚΤΟΝΙΚΗ ΥΠΟΛΟΓΙΣΤΩΝ;"""Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do""";2022-04-08;2022-07-11
1;6;55;15;ΔΙΚΤΥΑ ΥΠΟΛΟΓΙΣΤΩΝ;"""Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do""";2022-09-07;2022-11-23
1;7;24;2;ΞΕΝΗ ΓΛΩΣΣΑ - ΑΓΓΛΙΚΗ ΟΡΟΛΟΓΙΑ;"""Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do""";2023-07-15;2023-09-14
1;8;9899;5;ΑΣΑΦΗ ΣΥΣΤΗΜΑΤΑ;"""Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do""";2023-05-05;2023-08-06
1;9;9824;26;ΓΕΝΙΚΗ ΓΕΩΛΟΓΙΑ;"""Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do""";2023-07-17;2023-09-26
1;10;9792;27;ΔΙΚΑΙΟ ΣΥΝΑΛΛΑΓΩΝ;"""Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do""";2023-03-01;2023-06-02
1;11;9767;28;ΚΟΙΝΩΝΙΚΗ ΟΙΚΟΝΟΜΙΑ;"""Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do""";2023-08-04;2023-11-14
1;12;6967;17;ΠΡΟΓΡΑΜΜΑΤΙΣΜΟΣ ΤΟΥ ΠΑΓΚΟΣΜΙΟΥ ΙΣΤΟΥ;"""Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do""";2023-07-16;2023-12-24
1;13;6859;17;ΒΙΟΤΕΧΝΟΛΟΓΙΑ ΤΡΟΦΙΜΩΝ;"""Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do""";2022-08-23;2022-12-14
1;14;3436;14;ΒΙΟΛΟΓΙΑ ΚΥΤΤΑΡΟΥ;"""Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do""";2023-03-05;2023-07-04
1;15;2754;17;ΔΟΜΙΚΑ ΥΛΙΚΑ;"""Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do""";2023-07-03;2023-08-04
