idModule;IdCategory;SinceWhen
1;94;2019-07-02
2;126;2018-04-06
3;62;2020-11-15
4;150;2006-12-25
5;40;2011-03-25
6;73;2009-08-11
7;30;2017-04-04
8;23;2015-10-05
9;26;2015-08-24
10;77;2008-12-23
11;111;2021-07-03
12;14;2006-07-17
13;20;2009-10-16
14;124;2022-12-16
15;24;2012-08-30
16;145;2017-12-28
17;78;2009-09-07
18;11;2013-11-20
19;71;2019-11-03
20;51;2005-07-11
21;85;2020-10-29
22;14;2008-02-26
23;38;2005-07-11
24;150;2010-08-18
25;39;2017-02-28
26;25;2014-05-17
27;12;2012-02-03
28;120;2005-11-14
29;137;2019-10-02
30;123;2019-01-26
31;105;2011-04-05
32;119;2015-01-28
33;70;2006-08-02
34;113;2007-08-08
35;65;2006-10-15
36;62;2021-08-11
37;122;2007-06-24
38;107;2014-02-12
39;47;2022-07-17
40;24;2005-05-01
41;67;2020-07-15
42;136;2015-01-06
43;71;2014-04-16
44;80;2018-03-13
45;150;2017-03-26
46;65;2009-05-13
47;34;2017-01-03
48;140;2017-04-14
49;100;2009-07-02
50;27;2020-09-29
51;72;2019-09-04
52;26;2014-09-21
53;37;2019-03-15
54;41;2022-08-25
55;144;2005-10-01
56;138;2014-06-20
57;39;2013-02-05
58;114;2005-08-15
59;87;2008-04-21
60;116;2006-10-29
61;71;2016-01-20
62;7;2006-09-30
63;17;2020-01-18
64;121;2010-01-14
65;24;2019-08-08
66;142;2011-01-30
67;139;2008-02-10
68;124;2006-08-12
69;88;2021-05-22
70;19;2021-02-17
71;5;2022-07-31
72;100;2021-12-31
73;125;2007-01-27
74;109;2021-07-12
75;92;2009-10-01
76;15;2015-12-06
77;123;2016-01-02
78;25;2010-03-01
79;124;2012-07-25
80;1;2012-11-30
81;87;2009-01-27
82;45;2009-06-15
83;93;2012-08-11
84;3;2007-12-28
85;124;2015-06-10
86;67;2009-06-24
87;74;2019-05-27
88;111;2022-01-17
89;71;2007-08-28
90;140;2006-05-13
91;68;2018-01-16
92;117;2012-08-20
93;94;2022-04-08
94;40;2008-06-19
95;104;2018-12-02
96;99;2009-05-06
97;51;2013-01-11
98;136;2017-01-10
99;134;2008-11-05
100;42;2006-10-17
101;57;2009-04-02
102;150;2009-09-26
103;139;2005-05-08
104;3;2011-01-05
105;127;2007-07-06
106;53;2017-09-26
107;114;2022-06-27
108;23;2009-12-16
109;133;2010-12-13
110;20;2007-01-30
111;25;2018-04-11
112;96;2008-11-18
113;138;2019-05-24
114;59;2019-02-10
115;3;2019-04-12
116;54;2016-06-13
117;149;2011-12-06
118;107;2013-04-17
119;38;2019-01-06
120;121;2019-08-17
121;145;2020-08-28
122;142;2013-12-20
123;13;2007-10-14
124;85;2019-06-03
125;99;2007-01-23
126;89;2022-01-08
127;7;2022-06-20
128;127;2013-08-23
129;143;2020-04-03
130;58;2008-02-25
131;33;2012-01-17
132;14;2013-06-04
133;52;2006-05-23
134;133;2018-07-06
135;53;2017-12-12
136;102;2020-03-01
137;154;2016-01-15
138;20;2021-09-11
139;154;2013-10-01
140;42;2012-02-28
141;79;2014-01-21
142;74;2008-07-16
143;39;2020-08-16
144;17;2008-03-01
145;153;2022-07-03
146;107;2013-02-19
147;38;2021-06-23
148;71;2013-08-28
149;144;2019-11-18
150;63;2016-01-06
151;143;2016-11-12
152;77;2022-08-06
153;68;2012-01-18
154;64;2019-09-03
155;19;2021-01-30
156;119;2010-07-16
157;87;2021-06-02
158;45;2022-08-01
159;131;2016-12-05
160;87;2013-07-17
161;120;2014-03-03
162;110;2021-06-29
163;21;2019-04-02
164;105;2013-01-29
165;146;2007-08-12
166;86;2009-04-08
167;53;2011-10-16
168;54;2018-05-20
169;98;2008-10-06
170;39;2010-08-14
171;41;2014-12-02
172;43;2019-12-30
173;130;2010-12-07
174;56;2006-07-11
175;3;2015-05-11
176;73;2006-07-01
177;90;2007-07-05
178;50;2017-09-22
179;58;2012-10-09
180;22;2013-04-11
181;125;2010-08-16
182;24;2015-05-25
183;143;2022-03-07
184;26;2016-10-31
185;44;2013-04-24
186;100;2006-04-25
187;112;2021-08-02
188;35;2011-01-28
189;16;2008-03-05
190;53;2017-07-08
191;38;2014-06-03
192;38;2011-10-14
193;57;2010-06-05
194;5;2006-09-01
195;89;2012-03-22
196;97;2012-05-17
197;107;2011-11-02
198;47;2013-04-02
199;152;2022-08-05
200;87;2005-09-17
201;141;2022-09-17
202;98;2019-10-16
203;150;2010-06-18
204;133;2017-05-18
205;115;2007-01-30
206;12;2013-05-06
207;22;2011-05-29
208;18;2006-04-15
209;38;2011-07-06
210;33;2006-04-14
211;130;2012-11-13
212;150;2022-03-15
213;129;2009-01-30
214;22;2005-08-13
215;109;2011-11-16
216;42;2020-07-30
217;74;2015-10-06
218;42;2014-04-27
219;88;2012-01-27
220;116;2013-09-05
221;110;2018-07-03
222;20;2019-02-05
223;30;2013-06-02
224;118;2021-12-12
225;142;2022-12-18
226;19;2018-11-04
227;136;2022-02-25
228;131;2014-04-13
229;61;2013-07-02
230;84;2006-08-15
231;93;2012-06-12
232;17;2016-03-17
233;98;2009-07-19
234;128;2012-05-09
235;113;2008-09-20
236;150;2022-03-10
237;81;2022-11-26
238;6;2012-11-19
239;20;2006-08-29
240;90;2017-10-12
241;136;2014-11-03
242;136;2005-12-15
243;45;2011-10-09
244;151;2021-04-29
245;51;2006-12-12
246;33;2007-11-20
247;141;2005-12-20
248;69;2014-02-13
249;3;2012-12-30
